Train Years,Test Season,"DT Acc., %",Train Time (msec.),Predict Time (msec.)
2001-2002,2002-2003,81.25,0.5,0.15
2001-2003,2003-2004,75.0,0.74,0.16
2001-2004,2004-2005,75.0,0.91,0.18
2001-2005,2005-2006,62.5,0.95,0.16
2001-2006,2006-2007,68.75,1.41,0.22
2001-2007,2007-2008,68.75,1.6,0.18
2001-2008,2008-2009,68.75,1.81,0.16
2001-2009,2009-2010,68.75,2.06,0.2
2001-2010,2010-2011,75.0,2.39,0.22
2001-2011,2011-2012,68.75,2.57,0.13
2001-2012,2012-2013,68.75,2.19,0.18
2001-2013,2013-2014,68.75,3.18,0.19
2001-2014,2014-2015,62.5,3.56,0.19
2001-2015,2015-2016,68.75,3.82,0.19
