,team,key,won,los,t min,fgm,fga,3m,3a,ftm,fta,or,tr,as,st,to,bk,pf,pts,tc,ej,Playoffs,Conference,Avg. TND
0,AtlantaHawks,atl,26,56,19886,2946,6496,424,1154,1656,2207,1069,3301,1625,587,1235,394,2053,7972,19,0,False,East,8.958684772672653
1,BostonCeltics,bos,33,49,19906,2951,6322,467,1290,1664,2204,813,3245,1716,578,1301,422,2033,8033,13,0,False,East,8.870961060586094
2,CharlotteBobcats,cha,26,56,19917,2961,6843,428,1261,1593,2186,990,3260,1717,822,1115,354,1960,7943,27,0,False,East,9.466676590805719
3,ChicagoBulls,chi,41,41,19910,3004,6737,560,1477,1452,1967,906,3508,1804,508,1197,345,2038,8020,27,0,True,East,7.061807073836613
4,ClevelandCavaliers,cle,50,32,19845,2908,6412,497,1465,1689,2318,959,3470,1562,567,1099,392,1733,8002,24,0,True,East,8.672801690662961
5,DallasMavericks,dal,60,22,19880,2948,6375,416,1113,1818,2322,1030,3461,1473,593,1055,488,1834,8130,24,0,True,West,9.023281683203209
6,DenverNuggets,den,44,38,19940,3078,6672,350,1076,1721,2313,903,3389,1921,698,1180,463,1863,8227,52,0,True,West,8.484765834525817
7,DetroitPistons,det,64,18,19828,2983,6558,557,1451,1418,1950,975,3322,1969,580,882,491,1513,7941,49,0,True,East,8.905536070605715
8,GSWarriors,gsw,34,48,19845,2939,6785,625,1832,1573,2190,981,3465,1694,604,1117,357,1941,8076,22,0,False,West,8.709790608122066
9,HoustonRockets,hou,34,48,19846,2708,6252,469,1414,1502,1979,849,3414,1580,588,1121,320,1863,7387,32,0,False,West,8.375312767541462
10,IndianaPacers,ind,41,41,19741,2786,6274,536,1536,1591,2158,898,3457,1631,598,1204,409,1821,7699,43,0,True,East,9.470235062936489
11,LAClippers,lac,47,35,19823,2993,6442,290,842,1694,2142,828,3531,1708,534,1130,503,1871,7970,17,0,True,West,8.640766715494287
12,LALakers,lal,45,37,19858,2992,6607,552,1583,1618,2172,970,3458,1734,628,1096,350,1894,8154,45,0,True,West,7.5001971247203985
13,MemphisGrizzlies,mem,49,33,19869,2746,6125,590,1578,1476,2077,834,3213,1586,600,1056,442,1757,7558,13,0,True,West,8.4837537918067
14,MiamiHeat,mia,52,30,19770,3039,6355,497,1441,1616,2311,858,3533,1692,522,1139,439,1871,8191,43,0,True,East,8.574900560780707
15,MilwaukeeBucks,mil,40,42,19853,2976,6566,507,1335,1561,2115,929,3377,1769,597,1151,270,1902,8020,24,0,True,East,8.86965115195168
16,MinnesotaT-wolves,min,33,49,19875,2888,6340,310,942,1436,1895,811,3233,1716,559,1126,471,1890,7522,25,0,False,West,8.979152522862226
17,NJNets,bro,49,33,19783,2778,6317,477,1447,1658,2187,822,3361,1884,558,1065,278,1903,7691,20,0,True,East,8.029728963178899
18,NOrleansHornets,nor,38,44,19819,2831,6428,300,888,1649,2176,918,3297,1519,611,1026,310,1786,7611,35,0,False,West,7.64201921610479
19,NYKnicks,nyk,23,59,19936,2822,6206,320,884,1878,2587,1034,3394,1468,555,1397,271,2157,7842,45,0,False,East,8.213931656824677
20,OrlandoMagic,orl,36,46,19929,2911,6167,299,796,1663,2277,892,3294,1495,531,1183,362,1908,7784,31,0,False,East,7.923409544935744
21,Philadelphia76ers,phi,38,44,19922,3001,6546,375,1031,1770,2330,873,3298,1653,651,1112,404,1712,8147,25,0,False,East,8.08325454128267
22,PhoenixSuns,pho,54,28,19962,3430,7166,837,2096,1189,1475,778,3427,2179,549,1049,410,1684,8886,14,0,True,West,10.095118125509359
23,PortlandTrailBlazers,por,21,61,19741,2791,6267,364,1042,1339,1944,886,3090,1490,529,1123,434,1828,7285,21,0,False,West,8.115786709645196
24,SacramentoKings,sac,44,38,19827,2954,6500,494,1408,1704,2173,852,3325,1825,608,1146,299,1672,8106,38,0,True,West,9.380256697153076
25,SanAntonioSpurs,san,63,19,19821,2993,6342,524,1362,1327,1891,851,3399,1717,543,1087,467,1714,7837,23,0,True,West,8.287955244854722
26,SeattleSupersonics,okl,35,47,19841,3077,6711,605,1631,1652,2104,1013,3246,1696,622,1150,306,1933,8411,21,0,False,West,8.508614203197435
27,TorontoRaptors,tor,27,55,19965,3013,6639,608,1620,1653,2089,864,3155,1593,529,1023,272,1965,8287,24,0,False,East,8.268257207136488
28,UtahJazz,uta,41,41,19888,2744,6207,311,925,1774,2466,1071,3451,1772,524,1211,492,2032,7573,16,0,False,West,8.650153678812671
29,WashingtonWizards,was,42,40,19832,2975,6656,497,1394,1889,2496,1035,3379,1523,658,1100,339,1855,8336,14,0,True,East,8.704575393396352
