Test Season,$\ell_1$ (usec.),$\ell_2$ (usec.),$un-norm.$ (usec.)
2002-2003,135.89859008789062,68.18771362304688,63.18092346191406
2003-2004,90.12222290039062,65.08827209472656,64.13459777832031
2004-2005,66.99562072753906,63.89617919921875,64.13459777832031
2005-2006,66.99562072753906,64.13459777832031,63.89617919921875
2006-2007,66.99562072753906,140.90538024902344,115.87142944335938
2007-2008,107.04994201660156,102.04315185546875,101.80473327636719
2008-2009,82.0159912109375,89.16854858398438,64.849853515625
2009-2010,84.87701416015625,68.18771362304688,69.85664367675781
2010-2011,181.9133758544922,83.20808410644531,344.99168395996094
2011-2012,102.996826171875,113.01040649414062,76.05552673339844
2012-2013,93.93692016601562,72.00241088867188,91.31431579589844
2013-2014,69.85664367675781,66.04194641113281,66.04194641113281
2014-2015,69.14138793945312,68.18771362304688,64.849853515625
2015-2016,69.85664367675781,77.24761962890625,68.18771362304688
