Test Season,$linear$ (msec.),$rbf$ (msec.),$poly$ (msec.),$sigmoid$ (msec.)
2002-2003,0.10991096496582031,0.13589859008789062,0.08916854858398438,0.09894371032714844
2003-2004,0.1659393310546875,0.1239776611328125,0.08702278137207031,0.12111663818359375
2004-2005,0.14400482177734375,0.10895729064941406,0.08702278137207031,0.1327991485595703
2005-2006,0.1442432403564453,0.11706352233886719,0.1068115234375,0.15020370483398438
2006-2007,0.15306472778320312,0.14209747314453125,0.102996826171875,0.16832351684570312
2007-2008,0.247955322265625,0.23818016052246094,0.1251697540283203,0.1971721649169922
2008-2009,0.16689300537109375,0.6279945373535156,0.14638900756835938,0.3437995910644531
2009-2010,0.1800060272216797,0.2288818359375,0.225067138671875,0.25725364685058594
2010-2011,0.19311904907226562,0.2338886260986328,0.12278556823730469,0.2357959747314453
2011-2012,0.1800060272216797,0.18525123596191406,0.16188621520996094,0.2541542053222656
2012-2013,0.1971721649169922,0.19884109497070312,0.19311904907226562,0.3299713134765625
2013-2014,0.20194053649902344,0.2257823944091797,0.18596649169921875,0.293731689453125
2014-2015,0.21004676818847656,0.2269744873046875,0.1919269561767578,0.31685829162597656
2015-2016,0.21195411682128906,0.22292137145996094,0.1926422119140625,0.38814544677734375
