Train Years,Test NBA Season,linear SVM Predict Acc.,rbf SVM Predict Acc.,poly SVM Predict Acc.,sigmoid SVM Predict Acc.
2001-2002,2002-2003,81.25,87.5,56.25,62.5
2001-2003,2003-2004,81.25,75.0,75.0,62.5
2001-2004,2004-2005,75.0,62.5,75.0,68.75
2001-2005,2005-2006,75.0,68.75,62.5,75.0
2001-2006,2006-2007,75.0,62.5,62.5,75.0
2001-2007,2007-2008,62.5,75.0,62.5,75.0
2001-2008,2008-2009,68.75,62.5,62.5,75.0
2001-2009,2009-2010,81.25,62.5,68.75,68.75
2001-2010,2010-2011,62.5,56.25,50.0,75.0
2001-2011,2011-2012,75.0,75.0,56.25,81.25
2001-2012,2012-2013,68.75,62.5,62.5,75.0
2001-2013,2013-2014,68.75,50.0,43.75,68.75
2001-2014,2014-2015,75.0,62.5,68.75,81.25
2001-2015,2015-2016,62.5,56.25,50.0,75.0
